# dates,infections,hospitalizations,deaths,mean_r_t
2020-02-16,42.009318382862226,0.0,0.0,1.6594448409081464
2020-02-17,42.009318382862226,0.0,0.0,1.6593998926968756
2020-02-18,42.009318382862226,0.0,0.0,1.6593777340757814
2020-02-19,42.009318382862226,0.0,0.0,1.6593446532895184
2020-02-20,42.009318382862226,0.0,0.0,1.6592952687012699
2020-02-21,42.009318382862226,0.0,0.0,1.6592215494426634
2020-02-22,42.009318382862226,0.0,0.0,1.6591115142692978
2020-02-23,42.009318382862226,0.0,0.0,1.6589472950546456
2020-02-24,42.009318382862226,0.0,0.0,1.6587022591917173
2020-02-25,111.67324227555497,0.0,0.0,1.6582969344513874
2020-02-26,111.18849830028029,0.0,0.0,1.657746982326147
2020-02-27,116.46357279059072,0.0,0.0,1.6569217338387068
2020-02-28,127.4404699191183,0.0,0.0,1.6556998357084134
2020-02-29,150.28323529953795,0.0,0.0,1.6538894388332765
2020-03-01,185.76930159218972,1.0,0.0,1.651209777474488
2020-03-02,213.09634114144814,2.0,0.0,1.6472529014087878
2020-03-03,236.15953814414223,3.0,0.00028147320285914747,1.6414354930504913
2020-03-04,262.8716494032328,4.0,0.0008256547283868327,1.632943417156115
2020-03-05,294.0022621234187,5.0,0.0016175326724305675,1.6206719136016396
2020-03-06,331.9536454569428,5.0,0.002645097511668362,1.603195865206248
2020-03-07,369.592647325109,6.0,0.003898741627442624,1.5788218056447814
2020-03-08,404.5719876176512,7.0,0.005558427726733378,1.5458012369791139
2020-03-09,437.5039159285168,9.0,0.007599242053409155,1.5027903985511386
2020-03-10,468.4166892655364,12.0,0.010001253602564781,1.449547936029248
2020-03-11,496.79920381762446,13.0,0.012748517570276112,1.3876442578723442
2020-03-12,520.5081532125976,15.0,0.01694851687203953,1.3207061395150133
2020-03-13,538.638352692712,17.0,0.023078725546127284,1.253769955021132
2020-03-14,552.2964124815629,20.0,0.031080432225661515,1.1918715198303194
2020-03-15,563.0513749110339,23.0,0.040290291966320044,1.1386359722611112
2020-03-16,572.1365794154658,27.0,0.0501332043224378,1.0956314993145881
2020-03-17,579.9216037362446,31.0,0.059880704216543054,1.062614530351147
2020-03-18,586.4447385206863,37.0,0.07134564459678266,1.0382398200381797
2020-03-19,591.9181857246954,42.0,0.08496995042799853,1.0207587976888879
2020-03-20,596.6918750065587,47.0,0.1012488864131044,1.008478143142851
2020-03-21,601.0904515983425,53.0,0.1205144096873885,0.9999730882992345
2020-03-22,605.2540392243884,60.0,0.1425645173831018,0.9941384330566784
2020-03-23,609.1756050254209,67.0,0.1679623458930097,0.9901591872693126
2020-03-24,612.8398167952948,74.0,0.19726796817552295,0.9874536457211317
2020-03-25,616.2791660899574,80.0,0.23091569354910688,0.9856153874358551
2020-03-26,619.5563288101257,87.0,0.2691035840134799,0.9843644367103329
2020-03-27,622.7144169848439,93.0,0.31061345547479463,0.9835097208295609
2020-03-28,625.7582722215944,99.0,0.355623482280545,0.9829216495019603
2020-03-29,628.6763796108194,105.0,0.40414117782401093,0.9825126968974064
2020-03-30,631.4642330535355,110.0,0.45593030547208546,0.9822239139664403
2020-03-31,634.1300959198747,114.0,0.5104158324423155,0.9820156739285083
2020-04-01,636.6853581314723,118.0,0.5667085884798382,0.9818613729075791
2020-04-02,639.134776852282,121.0,0.6241556485010361,0.9817431652563091
2020-04-03,641.4765610904592,123.0,0.6823118813947776,0.9816490873448792
2020-04-04,643.7078732773481,126.0,0.7407437105667809,0.9815711226865591
2020-04-05,645.8287438467137,127.0,0.7989989046309947,0.9815039020929475
2020-04-06,647.8415818586218,129.0,0.8565321857725834,0.9814438310219968
2020-04-07,649.7485232223202,130.0,0.9129040087958087,0.981388504039684
2020-04-08,651.5500831558732,131.0,0.967839909232462,0.981336312251606
2020-04-09,653.2457946834395,132.0,1.0211709921160272,0.981286180344652
2020-04-10,654.835441856162,133.0,1.0727914068595916,0.9812373904969733
2020-04-11,656.3195349238855,134.0,1.1225859490785723,0.9811894644009577
2020-04-12,657.6988980025518,135.0,1.1705428291689992,0.9811420841692566
2020-04-13,658.9741331012798,136.0,1.2167666378996589,0.9810950393156729
2020-04-14,660.1455059801646,136.0,1.2614466449547566,0.9810481912547578
2020-04-15,661.213183926072,137.0,1.304782814323851,0.9810014495544984
2020-04-16,662.1774651115205,138.0,1.3469625809889445,0.9809547560441646
2020-04-17,663.038791363529,138.0,1.3880357352339696,0.9809080741613836
2020-04-18,663.799847949992,139.0,1.4280837855446538,0.9808647567935155
2020-04-19,664.4574938393772,139.0,1.4671673334702227,0.9808194203852529
2020-04-20,665.0137760051766,140.0,1.505332980921275,0.9807744936283418
2020-04-21,665.4691971138934,141.0,1.542629737760374,0.98073015065387
